row_no,block_no,plot_number,species_name,species_id,girth_cm,height_m,tree_class,basal_area_sqm,stem_volume_cubic_m,r_factor,branch_volume_cubic_m,total_volume_cubic_m,r_less_than_10,volume_less_than_10_cubic_m,gross_volume_cubic_m,net_volume_cubic_m,fuelwood_volume_cubic_m
32,1,27,अन्य,,43.1,18,ii,0.15,1.18,0.50,0.54,1.72,0.02,0.02,1.16,0.69,1.03
33,1,32,खयर,8,38.9,11,iii,0.12,0.58,0.50,0.29,0.87,0.03,0.02,0.56,0.17,0.70
34,1,32,खयर,8,65.0,17,i,0.33,2.19,0.10,0.19,2.38,0.01,0.02,2.17,1.74,0.64
35,1,39,अन्य,,60.5,16,ii,0.29,1.93,0.20,0.31,2.24,0.01,0.02,1.91,1.15,1.09
36,1,47,खयर,8,74.9,17,ii,0.44,2.86,0.00,0.00,2.86,0.01,0.02,2.84,1.70,1.16
37,1,47,खयर,8,34.4,15,ii,0.09,0.60,0.50,0.30,0.89,0.04,0.02,0.57,0.34,0.55
38,1,47,खयर,8,50.9,16,ii,0.20,1.31,0.30,0.43,1.74,0.02,0.02,1.29,0.78,0.97
39,1,54,जामुन,5,78.5,22,i,0.48,3.89,0.00,0.00,3.89,0.00,0.02,3.87,3.10,0.79
40,1,54,अन्य,,74.9,17,ii,0.44,2.99,0.00,0.00,2.99,0.01,0.02,2.97,1.78,1.21
41,1,55,साल,2,34.4,15,ii,0.09,0.69,0.30,0.20,0.89,0.03,0.02,0.67,0.40,0.49
42,1,55,साल,2,54.5,18,i,0.23,1.93,0.20,0.34,2.27,0.01,0.02,1.91,1.53,0.74
43,1,55,अन्य,,77.8,17,ii,0.48,3.20,0.00,0.00,3.20,0.01,0.02,3.19,1.91,1.29
44,1,55,साल,2,43.1,18,ii,0.15,1.24,0.30,0.38,1.61,0.02,0.02,1.22,0.73,0.88
45,1,56,साल,2,55.1,20,i,0.24,2.15,0.20,0.36,2.52,0.01,0.02,2.13,1.71,0.81
46,1,56,साल,2,41.3,20,i,0.13,1.24,0.30,0.41,1.65,0.02,0.02,1.22,0.98,0.67
47,1,56,साल,2,32.9,17,ii,0.09,0.71,0.30,0.19,0.90,0.03,0.02,0.68,0.41,0.49
48,1,56,साल,2,68.0,10,iii,0.36,1.80,0.00,0.04,1.84,0.01,0.01,1.79,0.54,1.30
49,1,58,साल,2,65.0,17,i,0.33,2.57,0.10,0.15,2.72,0.01,0.02,2.56,2.05,0.67
50,1,58,अन्य,,50.0,14,ii,0.20,1.21,0.30,0.41,1.62,0.02,0.02,1.19,0.72,0.91
51,1,52,साल,2,55.1,18,i,0.24,1.97,0.20,0.33,2.30,0.01,0.02,1.95,1.56,0.74
52,1,52,साल,2,56.6,18,i,0.25,2.07,0.20,0.32,2.39,0.01,0.02,2.06,1.65,0.74
53,1,52,साल,2,63.5,20,i,0.32,2.82,0.10,0.21,3.03,0.01,0.02,2.80,2.24,0.79
54,1,52,साल,2,85.9,23,i,0.58,5.63,0.00,0.00,5.63,0.00,0.02,5.62,4.49,1.14
55,1,51,साल,2,38.9,21,i,0.12,1.16,0.30,0.38,1.54,0.02,0.02,1.13,0.91,0.63
56,1,51,अन्य,,67.4,17,ii,0.36,2.48,0.00,0.11,2.59,0.01,0.02,2.46,1.48,1.11
57,1,51,साल,2,41.3,20,i,0.13,1.24,0.30,0.41,1.65,0.02,0.02,1.22,0.98,0.67
58,1,51,साल,2,41.9,16,ii,0.14,1.06,0.30,0.34,1.40,0.02,0.02,1.04,0.63,0.77
59,1,50,साल,2,32.9,17,ii,0.09,0.71,0.30,0.19,0.90,0.03,0.02,0.68,0.41,0.49
60,1,50,साल,2,68.0,10,iii,0.36,1.80,0.00,0.04,1.84,0.01,0.01,1.79,0.54,1.30
61,1,42,साल,2,56.6,18,i,0.25,2.07,0.20,0.32,2.39,0.01,0.02,2.06,1.65,0.74
62,1,42,साल,2,63.5,20,i,0.32,2.82,0.10,0.21,3.03,0.01,0.02,2.80,2.24,0.79
63,1,35,असना,3,67.5,21,i,0.36,3.01,0.00,0.13,3.14,0.01,0.02,2.98,2.39,0.75
64,1,35,साल,2,51.8,20,i,0.21,1.91,0.20,0.40,2.31,0.01,0.02,1.89,1.52,0.79
65,1,43,अन्य,,41.9,16,ii,0.14,1.00,0.50,0.48,1.48,0.02,0.02,0.98,0.59,0.89
66,1,43,साल,2,46.7,22,i,0.17,1.70,0.30,0.45,2.15,0.01,0.02,1.68,1.34,0.81
67,1,43,साल,2,38.9,19,ii,0.12,1.06,0.30,0.35,1.42,0.02,0.02,1.04,0.63,0.79
68,1,43,अन्य,,56.6,18,i,0.25,1.92,0.20,0.44,2.35,0.01,0.02,1.90,1.52,0.84
69,1,43,साल,2,63.5,20,i,0.32,2.82,0.10,0.21,3.03,0.01,0.02,2.80,2.24,0.79
70,1,44,साल,2,85.9,23,i,0.58,5.63,0.00,0.00,5.63,0.00,0.02,5.62,4.49,1.14
71,1,44,साल,2,68.0,24,iii,0.36,3.74,0.00,0.09,3.82,0.01,0.02,3.72,1.12,2.71
72,1,44,साल,2,66.8,23,i,0.35,3.49,0.00,0.13,3.61,0.01,0.02,3.47,2.77,0.84
73,1,44,साल,2,32.9,14,ii,0.09,0.60,0.30,0.16,0.76,0.03,0.02,0.58,0.35,0.42
74,1,45,साल,2,68.0,24,ii,0.36,3.74,0.00,0.09,3.82,0.01,0.02,3.72,2.23,1.59
75,1,45,साल,2,66.8,23,iii,0.35,3.49,0.00,0.13,3.61,0.01,0.02,3.47,1.04,2.57
76,1,45,साल,2,32.9,14,ii,0.09,0.60,0.30,0.16,0.76,0.03,0.02,0.58,0.47,0.30
77,1,9,खयर,8,71.9,22,i,0.41,3.30,0.00,0.00,3.30,0.01,0.02,3.27,2.62,0.68
78,1,9,साल,2,63.5,20,i,0.32,2.82,0.10,0.21,3.03,0.01,0.02,2.80,2.24,0.79
79,1,3,खयर,8,45.8,17,iii,0.16,1.14,0.40,0.47,1.60,0.02,0.02,1.11,0.33,1.27
80,1,3,अन्य,,31.7,14,i,0.08,0.54,0.50,0.26,0.80,0.04,0.02,0.52,0.41,0.39
81,1,7,साल,2,106.3,23,i,0.89,8.44,0.00,0.00,8.44,0.00,0.01,8.43,6.74,1.70
82,1,7,साल,2,32.9,14,i,0.09,0.60,0.30,0.16,0.76,0.03,0.02,0.58,0.47,0.30
83,1,7,साल,2,71.9,22,i,0.41,3.86,0.00,0.00,3.86,0.00,0.02,3.85,3.08,0.79
84,1,11,अन्य,,29.9,7,i,0.07,0.25,0.50,0.12,0.37,0.05,0.01,0.24,0.19,0.18
85,1,17,अन्य,,68.0,24,ii,0.36,3.50,0.00,0.12,3.62,0.01,0.02,3.47,2.08,1.53
86,1,13,अन्य,,66.2,18,ii,0.34,2.53,0.10,0.17,2.70,0.01,0.02,2.51,1.51,1.19
87,1,24,साल,2,27.8,8,ii,0.06,0.27,0.20,0.06,0.33,0.05,0.01,0.26,0.16,0.18
88,1,24,साल,2,32.9,14,ii,0.09,0.60,0.30,0.16,0.76,0.03,0.02,0.58,0.35,0.42
89,1,24,साल,2,74.9,24,i,0.44,4.49,0.00,0.00,4.49,0.00,0.02,4.47,3.58,0.91
90,1,24,साल,2,27.8,15,ii,0.06,0.46,0.20,0.10,0.57,0.05,0.02,0.44,0.26,0.30
91,1,28,साल,2,68.0,24,iii,0.36,3.74,0.00,0.09,3.82,0.01,0.02,3.72,1.12,2.71
92,1,28,साल,2,71.9,22,i,0.41,3.86,0.00,0.00,3.86,0.00,0.02,3.85,3.08,0.79
93,1,28,साल,2,29.9,7,i,0.07,0.28,0.20,0.07,0.35,0.04,0.01,0.27,0.22,0.13
94,1,28,साल,2,68.0,24,ii,0.36,3.74,0.00,0.09,3.82,0.01,0.02,3.72,2.23,1.59
95,1,33,साल,2,66.8,23,i,0.35,3.49,0.00,0.13,3.61,0.01,0.02,3.47,2.77,0.84
96,1,33,साल,2,74.9,24,i,0.44,4.49,0.00,0.00,4.49,0.00,0.02,4.47,3.58,0.91
97,1,33,साल,2,27.8,15,ii,0.06,0.46,0.20,0.10,0.57,0.05,0.02,0.44,0.26,0.30
98,1,33,साल,2,68.0,24,iii,0.36,3.74,0.00,0.09,3.82,0.01,0.02,3.72,1.12,2.71
99,1,34,साल,2,32.9,14,ii,0.09,0.60,0.30,0.16,0.76,0.03,0.02,0.58,0.35,0.42
100,1,34,साल,2,32.0,9,i,0.08,0.39,0.30,0.10,0.50,0.03,0.01,0.38,0.30,0.19
101,1,34,साल,2,43.1,20,i,0.15,1.35,0.20,0.41,1.76,0.01,0.02,1.33,1.06,0.70
102,1,34,अन्य,,55.4,17,i,0.24,1.75,0.20,0.43,2.18,0.01,0.02,1.73,1.38,0.80
103,1,41,खयर,8,43.1,20,i,0.15,1.16,0.50,0.53,1.70,0.02,0.03,1.13,0.91,0.79
104,1,41,साल,2,58.4,22,i,0.27,2.60,0.10,0.34,2.95,0.01,0.02,2.58,2.07,0.88
105,1,41,साल,2,29.3,12,i,0.07,0.42,0.20,0.10,0.53,0.04,0.02,0.41,0.32,0.20
106,1,41,अन्य,,41.9,9,i,0.14,0.58,0.50,0.28,0.86,0.02,0.01,0.57,0.45,0.40
107,1,40,साल,2,66.8,23,i,0.35,3.49,0.00,0.13,3.61,0.01,0.02,3.47,2.77,0.84
108,1,40,साल,2,74.9,24,i,0.44,4.49,0.00,0.00,4.49,0.00,0.02,4.47,3.58,0.91
109,1,40,साल,2,27.8,15,ii,0.06,0.46,0.20,0.10,0.57,0.05,0.02,0.44,0.26,0.30
110,1,48,साल,2,48.8,20,iii,0.19,1.71,0.20,0.41,2.12,0.01,0.02,1.69,0.51,1.61
111,1,48,साल,2,68.0,24,iii,0.36,3.74,0.00,0.09,3.82,0.01,0.02,3.72,1.12,2.71
112,1,48,साल,2,32.9,14,ii,0.09,0.60,0.30,0.16,0.76,0.03,0.02,0.58,0.35,0.42
113,1,49,असना,3,35.9,10,i,0.10,0.49,0.50,0.24,0.73,0.03,0.02,0.47,0.38,0.36
114,1,49,साल,2,69.5,22,iii,0.38,3.62,0.00,0.02,3.64,0.00,0.02,3.60,1.08,2.56
115,1,49,खयर,8,34.7,14,i,0.09,0.57,0.50,0.29,0.86,0.04,0.02,0.55,0.44,0.42
116,1,49,साल,2,47.3,24,i,0.18,1.88,0.30,0.48,2.36,0.01,0.02,1.85,1.48,0.88
117,1,38,अन्य,,62.9,20,i,0.31,2.56,0.10,0.31,2.87,0.01,0.02,2.54,2.03,0.84
118,1,38,खयर,8,56.9,15,i,0.25,1.53,0.20,0.34,1.88,0.01,0.02,1.51,1.21,0.66
119,1,38,साल,2,66.8,23,i,0.35,3.49,0.00,0.13,3.61,0.01,0.02,3.47,2.77,0.84
120,1,38,साल,2,74.9,24,i,0.44,4.49,0.00,0.00,4.49,0.00,0.02,4.47,3.58,0.91
121,1,46,साल,2,57.2,21,i,0.26,2.41,0.10,0.35,2.76,0.01,0.02,2.39,1.91,0.85
122,1,46,साल,2,68.0,24,iii,0.36,3.74,0.00,0.09,3.82,0.01,0.02,3.72,1.12,2.71
123,1,46,साल,2,32.9,14,ii,0.09,0.60,0.30,0.16,0.76,0.03,0.02,0.58,0.35,0.42
124,1,46,अन्य,,43.4,18,ii,0.15,1.19,0.50,0.54,1.74,0.02,0.02,1.17,0.70,1.03
125,1,31,अन्य,,46.7,18,i,0.17,1.36,0.40,0.54,1.90,0.02,0.02,1.34,1.07,0.83
126,1,31,अन्य,,37.4,13,ii,0.11,0.67,0.50,0.34,1.01,0.03,0.02,0.65,0.39,0.62
127,1,37,साल,2,44.9,20,iii,0.16,1.46,0.30,0.42,1.87,0.01,0.02,1.44,0.43,1.44
128,1,37,असना,3,53.9,21,i,0.23,1.98,0.30,0.54,2.53,0.01,0.03,1.96,1.56,0.96
129,1,37,साल,2,83.8,20,iii,0.55,4.78,0.00,0.00,4.78,0.00,0.01,4.77,1.43,3.35
130,1,37,असना,3,62.0,18,ii,0.30,2.24,0.10,0.31,2.55,0.01,0.02,2.22,1.33,1.22
131,1,36,साल,2,41.3,17,i,0.13,1.09,0.30,0.35,1.44,0.02,0.02,1.07,0.85,0.59
132,1,36,साल,2,66.8,23,i,0.35,3.49,0.00,0.13,3.61,0.01,0.02,3.47,2.77,0.84
133,1,36,साल,2,74.9,24,i,0.44,4.49,0.00,0.00,4.49,0.00,0.02,4.47,3.58,0.91
134,1,36,साल,2,27.8,15,ii,0.06,0.46,0.20,0.10,0.57,0.05,0.02,0.44,0.26,0.30
135,1,36,साल,2,48.8,20,iii,0.19,1.71,0.20,0.41,2.12,0.01,0.02,1.69,0.51,1.61
136,1,36,जामुन,5,59.9,19,i,0.28,2.07,0.20,0.36,2.42,0.01,0.02,2.05,1.64,0.78
137,1,35,साल,2,36.8,17,i,0.11,0.87,0.30,0.27,1.14,0.02,0.02,0.85,0.68,0.46
138,1,35,साल,2,52.4,19,i,0.22,1.87,0.20,0.38,2.25,0.01,0.02,1.86,1.48,0.76
139,1,35,साल,2,35.9,13,i,0.10,0.67,0.30,0.20,0.87,0.03,0.02,0.65,0.52,0.35
140,1,35,साल,2,49.4,17,i,0.19,1.53,0.20,0.36,1.88,0.01,0.02,1.51,1.21,0.68
141,1,29,जामुन,5,51.5,19,i,0.21,1.56,0.30,0.49,2.05,0.01,0.02,1.54,1.23,0.82
142,1,30,खयर,8,59.3,19,i,0.28,2.03,0.20,0.37,2.40,0.01,0.02,2.00,1.60,0.79
143,1,30,साल,2,52.4,17,iii,0.22,1.71,0.20,0.34,2.05,0.01,0.02,1.69,0.51,1.54
144,1,30,साल,2,57.5,19,iii,0.26,2.24,0.10,0.32,2.55,0.01,0.02,2.22,0.67,1.89
145,1,30,साल,2,35.9,13,i,0.10,0.67,0.30,0.20,0.87,0.03,0.02,0.65,0.52,0.35
146,1,30,साल,2,49.4,17,i,0.19,1.53,0.20,0.36,1.88,0.01,0.02,1.51,1.21,0.68
147,1,26,अन्य,,34.4,13,i,0.09,0.58,0.50,0.29,0.87,0.03,0.02,0.56,0.45,0.42
148,1,26,जामुन,5,35.9,13,i,0.10,0.57,0.50,0.29,0.86,0.03,0.02,0.55,0.44,0.42
149,1,26,अन्य,,49.4,17,i,0.19,1.42,0.40,0.50,1.92,0.01,0.02,1.40,1.12,0.80
150,1,26,खयर,8,53.9,20,ii,0.23,1.77,0.30,0.49,2.25,0.01,0.03,1.74,1.05,1.21
151,1,26,खयर,8,70.7,18,ii,0.39,2.69,0.00,0.00,2.69,0.01,0.02,2.67,1.60,1.09
152,2,16,साल,2,41.9,16,i,0.14,1.06,0.20,0.34,1.40,0.02,0.02,1.04,0.83,0.57
153,2,16,साल,2,30.5,15,iii,0.07,0.55,0.30,0.14,0.69,0.04,0.02,0.53,0.16,0.53
154,2,16,साल,2,37.1,13,iii,0.11,0.71,0.30,0.22,0.93,0.02,0.02,0.69,0.21,0.72
155,2,16,साल,2,35.9,13,i,0.10,0.67,0.30,0.20,0.87,0.03,0.02,0.65,0.52,0.35
156,2,16,साल,2,49.4,17,i,0.19,1.53,0.20,0.36,1.88,0.01,0.02,1.51,1.21,0.68
157,2,16,अन्य,,80.8,17,iii,0.51,3.43,0.00,0.00,3.43,0.00,0.02,3.41,2.02,1.30
158,2,15,साल,2,97.9,20,i,0.75,6.43,0.00,0.00,6.43,0.00,0.01,6.41,5.13,1.30
159,2,15,असना,3,97.6,22,i,0.75,6.20,0.00,0.00,6.20,0.00,0.02,6.17,4.94,1.26
160,2,13,साल,2,50.9,19,i,0.20,1.77,0.20,0.39,2.16,0.01,0.02,1.75,1.40,0.75
161,2,13,साल,2,65.9,19,i,0.34,2.90,0.00,0.14,3.03,0.01,0.02,2.88,2.30,0.73
162,2,13,साल,2,57.5,19,iii,0.26,2.24,0.10,0.32,2.55,0.01,0.02,2.22,0.67,1.89
163,2,13,साल,2,35.9,13,i,0.10,0.67,0.30,0.20,0.87,0.03,0.02,0.65,0.52,0.35
164,2,14,असना,3,68.3,20,i,0.37,2.94,0.00,0.09,3.03,0.01,0.02,2.92,2.33,0.69
165,2,14,साल,2,36.8,17,i,0.11,0.87,0.30,0.27,1.14,0.02,0.02,0.85,0.68,0.46
166,2,14,असना,3,53.9,19,i,0.23,1.82,0.30,0.50,2.31,0.01,0.02,1.79,1.43,0.88
167,2,7,अन्य,,28.1,11,iii,0.06,0.34,0.50,0.17,0.51,0.05,0.02,0.33,0.10,0.41
168,2,4,खयर,8,59.3,15,ii,0.28,1.66,0.20,0.30,1.96,0.01,0.02,1.64,0.98,0.98
169,2,4,खयर,8,50.9,19,i,0.20,1.52,0.30,0.49,2.02,0.02,0.02,1.50,1.20,0.82
170,2,4,साल,2,65.9,19,i,0.34,2.90,0.00,0.14,3.03,0.01,0.02,2.88,2.30,0.73
171,2,1,अन्य,,35.9,13,i,0.10,0.62,0.50,0.31,0.94,0.03,0.02,0.61,0.48,0.45
172,2,1,खयर,8,68.3,20,i,0.37,2.76,0.00,0.08,2.84,0.01,0.02,2.74,2.19,0.65
173,2,3,अन्य,,55.1,20,ii,0.24,2.02,0.30,0.51,2.53,0.01,0.02,2.00,1.20,1.33
174,2,3,असना,3,28.1,16,iii,0.06,0.47,0.50,0.23,0.70,0.06,0.03,0.44,0.13,0.56
175,2,3,साल,2,34.1,18,iii,0.09,0.79,0.30,0.23,1.02,0.03,0.02,0.77,0.23,0.79
176,2,3,असना,3,29.9,19,iii,0.07,0.61,0.50,0.30,0.91,0.05,0.03,0.58,0.17,0.74
177,2,8,साल,2,53.9,16,i,0.23,1.71,0.20,0.31,2.03,0.01,0.02,1.70,1.36,0.67
178,2,8,अन्य,,32.9,13,i,0.09,0.53,0.50,0.26,0.80,0.04,0.02,0.51,0.41,0.39
179,2,8,साल,2,32.9,13,i,0.09,0.56,0.30,0.15,0.72,0.03,0.02,0.55,0.44,0.28
180,2,8,साल,2,36.8,17,i,0.11,0.87,0.30,0.27,1.14,0.02,0.02,0.85,0.68,0.46
181,2,8,साल,2,68.3,20,i,0.37,3.24,0.00,0.06,3.30,0.01,0.02,3.22,2.58,0.72
182,2,8,साल,2,55.1,20,ii,0.24,2.15,0.20,0.36,2.52,0.01,0.02,2.13,1.28,1.24
183,2,9,साल,2,70.1,17,ii,0.39,2.97,0.00,0.00,2.97,0.00,0.01,2.95,1.77,1.20
184,2,10,असना,3,98.2,18,i,0.76,5.25,0.00,0.00,5.25,0.00,0.02,5.23,4.19,1.07
185,2,10,अन्य,,29.9,15,i,0.07,0.52,0.50,0.25,0.77,0.05,0.02,0.49,0.39,0.38
186,2,11,असना,3,35.3,8,i,0.10,0.39,0.50,0.19,0.58,0.03,0.01,0.37,0.30,0.28
187,2,11,साल,2,36.5,20,ii,0.10,0.98,0.30,0.30,1.29,0.02,0.02,0.96,0.58,0.71
188,2,11,साल,2,34.1,18,iii,0.09,0.79,0.30,0.23,1.02,0.03,0.02,0.77,0.23,0.79
189,2,11,साल,2,29.9,19,iii,0.07,0.65,0.20,0.16,0.80,0.04,0.03,0.62,0.19,0.62
190,2,11,साल,2,53.9,16,i,0.23,1.71,0.20,0.31,2.03,0.01,0.02,1.70,1.36,0.67
191,2,11,साल,2,38.9,21,i,0.12,1.16,0.30,0.38,1.54,0.02,0.02,1.13,0.91,0.63
192,2,12,अन्य,,28.1,13,ii,0.06,0.40,0.50,0.20,0.60,0.05,0.02,0.38,0.23,0.37
193,2,12,साल,2,59.9,11,iii,0.28,1.53,0.10,0.18,1.71,0.01,0.01,1.52,0.46,1.25
194,2,6,अन्य,,31.7,19,i,0.08,0.72,0.50,0.35,1.07,0.04,0.03,0.69,0.55,0.52
195,2,6,साल,2,30.2,19,i,0.07,0.66,0.20,0.16,0.82,0.04,0.03,0.63,0.51,0.32
196,2,6,साल,2,31.4,17,i,0.08,0.65,0.30,0.17,0.81,0.04,0.02,0.62,0.50,0.32
197,2,5,असना,3,58.4,18,i,0.27,2.01,0.20,0.40,2.40,0.01,0.02,1.98,1.59,0.82
198,2,5,असना,3,47.9,20,i,0.18,1.53,0.40,0.57,2.10,0.02,0.03,1.50,1.20,0.90
199,2,5,साल,2,47.0,10,iii,0.17,0.89,0.30,0.23,1.12,0.01,0.01,0.88,0.26,0.86
200,2,5,असना,3,47.0,11,iii,0.17,0.87,0.40,0.34,1.21,0.02,0.02,0.86,0.26,0.96
201,2,5,साल,2,38.9,23,i,0.12,1.25,0.30,0.41,1.66,0.02,0.03,1.22,0.98,0.68
202,2,5,साल,2,38.3,15,ii,0.12,0.85,0.30,0.28,1.12,0.02,0.02,0.83,0.50,0.63
203,2,5,साल,2,42.2,16,i,0.14,1.08,0.30,0.34,1.42,0.02,0.02,1.06,0.85,0.57
204,2,5,अन्य,,41.9,14,ii,0.14,0.88,0.50,0.42,1.30,0.02,0.02,0.86,0.52,0.79
205,2,2,असना,3,39.2,12,ii,0.12,0.67,0.50,0.34,1.02,0.03,0.02,0.65,0.39,0.62
206,2,2,अन्य,,38.3,15,ii,0.12,0.80,0.50,0.41,1.21,0.03,0.02,0.78,0.47,0.74
207,2,2,साल,2,42.2,16,i,0.14,1.08,0.30,0.34,1.42,0.02,0.02,1.06,0.85,0.57
208,2,9,सिसौ,4,32.9,16,iii,0.09,0.57,0.70,0.39,0.95,0.04,0.02,0.54,0.16,0.79
209,2,9,सिसौ,4,32.9,18,ii,0.09,0.64,0.70,0.43,1.07,0.04,0.03,0.61,0.37,0.70
210,2,9,सिसौ,4,98.2,21,i,0.76,4.52,0.00,0.00,4.52,0.00,0.02,4.51,3.61,0.92
211,2,9,सिसौ,4,40.1,17,i,0.13,0.83,0.70,0.57,1.40,0.03,0.02,0.81,0.65,0.75
212,2,9,सिसौ,4,29.9,22,i,0.07,0.66,0.70,0.45,1.11,0.05,0.03,0.63,0.50,0.61
